name,metric,value
ch02_04_spy_hunter,IdQ,3
ch07_05_qft_freq_to_state,IdQ,8
ch03_03_phase_kickback,IdQ,4
ch05_03_add_squared,IdQ,72
vqe,IdQ,0
ch07_04_qft_big_sq_wave,IdQ,24
ch04_01_basic_teleportation,IdQ,7
ch05_02_quantum_add,IdQ,70
qsvc,IdQ,1
vqd,IdQ,0
vqc,IdQ,1
ch05_05_conditional_phase,IdQ,17
ch03_06_remote_random,IdQ,2
ch07_03_qft_sq_wave,IdQ,8
ae,IdQ,821
ch02_03_root_not,IdQ,0
qaoa,IdQ,0
ch07_07_qft_freq_manip,IdQ,24
ch05_06_cnot_logic,IdQ,3
fae,IdQ,0
hhl,IdQ,1
ch05_04_conditional_execution,IdQ,43
ch03_02_entangled_qubits,IdQ,0
adapt_vqe,IdQ,19
ch03_04_swaptest,IdQ,3
grover,IdQ,2
ch07_06_qft_prepare_state,IdQ,8
ch05_01_increment,IdQ,24
phase_estimation,IdQ,0
iae,IdQ,0
ch07_01_qft_distinguish,IdQ,8
ch02_02_random_byte,IdQ,0
ch06_02_grover_freq,IdQ,11
ch06_01_grover_iterations,IdQ,11
ch07_02_qft_signal,IdQ,8
ch07_08_qft_rotating_phases,IdQ,0
ipe,IdQ,0
qgan,IdQ,0
ch03_01_seperable_qubits,IdQ,0
shor,IdQ,15650
qeom,IdQ,19
ch03_05_custom_cphase,IdQ,1
ch04_02_teleport_fly,IdQ,406
ch02_01_random_bit,IdQ,0
ch06_03_grover_multi,IdQ,19
mlae,IdQ,0
ch02_04_spy_hunter,CG,0
ch07_05_qft_freq_to_state,CG,0
ch03_03_phase_kickback,CG,0
ch05_03_add_squared,CG,0
vqe,CG,0
ch07_04_qft_big_sq_wave,CG,0
ch04_01_basic_teleportation,CG,0
ch05_02_quantum_add,CG,0
qsvc,CG,0
vqd,CG,0
vqc,CG,0
ch05_05_conditional_phase,CG,0
ch03_06_remote_random,CG,0
ch07_03_qft_sq_wave,CG,0
ae,CG,0
ch02_03_root_not,CG,0
qaoa,CG,0
ch07_07_qft_freq_manip,CG,0
ch05_06_cnot_logic,CG,0
fae,CG,0
hhl,CG,0
ch05_04_conditional_execution,CG,0
ch03_02_entangled_qubits,CG,0
adapt_vqe,CG,0
ch03_04_swaptest,CG,0
grover,CG,0
ch07_06_qft_prepare_state,CG,0
ch05_01_increment,CG,0
phase_estimation,CG,0
iae,CG,0
ch07_01_qft_distinguish,CG,0
ch02_02_random_byte,CG,0
ch06_02_grover_freq,CG,0
ch06_01_grover_iterations,CG,0
ch07_02_qft_signal,CG,0
ch07_08_qft_rotating_phases,CG,0
ipe,CG,0
qgan,CG,0
ch03_01_seperable_qubits,CG,0
shor,CG,0
qeom,CG,0
ch03_05_custom_cphase,CG,0
ch04_02_teleport_fly,CG,0
ch02_01_random_bit,CG,0
ch06_03_grover_multi,CG,0
mlae,CG,0
ch02_04_spy_hunter,LC,24
ch07_05_qft_freq_to_state,LC,68
ch03_03_phase_kickback,LC,16
ch05_03_add_squared,LC,900
vqe,LC,10
ch07_04_qft_big_sq_wave,LC,264
ch04_01_basic_teleportation,LC,21
ch05_02_quantum_add,LC,450
qsvc,LC,20
vqd,LC,10
vqc,LC,26
ch05_05_conditional_phase,LC,108
ch03_06_remote_random,LC,10
ch07_03_qft_sq_wave,LC,68
ae,LC,4842
ch02_03_root_not,LC,7
qaoa,LC,6
ch07_07_qft_freq_manip,LC,256
ch05_06_cnot_logic,LC,72
fae,LC,128
hhl,LC,8
ch05_04_conditional_execution,LC,156
ch03_02_entangled_qubits,LC,12
adapt_vqe,LC,291
ch03_04_swaptest,LC,36
grover,LC,42
ch07_06_qft_prepare_state,LC,84
ch05_01_increment,LC,200
phase_estimation,LC,1
iae,LC,84
ch07_01_qft_distinguish,LC,68
ch02_02_random_byte,LC,48
ch06_02_grover_freq,LC,1000
ch06_01_grover_iterations,LC,1000
ch07_02_qft_signal,LC,68
ch07_08_qft_rotating_phases,LC,36
ipe,LC,1
qgan,LC,8
ch03_01_seperable_qubits,LC,2
shor,LC,99008
qeom,LC,124
ch03_05_custom_cphase,LC,18
ch04_02_teleport_fly,LC,6732
ch02_01_random_bit,LC,6
ch06_03_grover_multi,LC,2500
mlae,LC,260
ch02_04_spy_hunter,LPQ,1
ch07_05_qft_freq_to_state,LPQ,1
ch03_03_phase_kickback,LPQ,1
ch05_03_add_squared,LPQ,1
vqe,LPQ,0
ch07_04_qft_big_sq_wave,LPQ,1
ch04_01_basic_teleportation,LPQ,1
ch05_02_quantum_add,LPQ,1
qsvc,LPQ,0
vqd,LPQ,0
vqc,LPQ,0
ch05_05_conditional_phase,LPQ,1
ch03_06_remote_random,LPQ,1
ch07_03_qft_sq_wave,LPQ,1
ae,LPQ,0
ch02_03_root_not,LPQ,1
qaoa,LPQ,0
ch07_07_qft_freq_manip,LPQ,1
ch05_06_cnot_logic,LPQ,1
fae,LPQ,0
hhl,LPQ,0
ch05_04_conditional_execution,LPQ,1
ch03_02_entangled_qubits,LPQ,1
adapt_vqe,LPQ,0
ch03_04_swaptest,LPQ,1
grover,LPQ,0
ch07_06_qft_prepare_state,LPQ,1
ch05_01_increment,LPQ,1
phase_estimation,LPQ,0
iae,LPQ,0
ch07_01_qft_distinguish,LPQ,1
ch02_02_random_byte,LPQ,1
ch06_02_grover_freq,LPQ,1
ch06_01_grover_iterations,LPQ,1
ch07_02_qft_signal,LPQ,1
ch07_08_qft_rotating_phases,LPQ,1
ipe,LPQ,0
qgan,LPQ,0
ch03_01_seperable_qubits,LPQ,1
shor,LPQ,0
qeom,LPQ,0
ch03_05_custom_cphase,LPQ,1
ch04_02_teleport_fly,LPQ,1
ch02_01_random_bit,LPQ,1
ch06_03_grover_multi,LPQ,1
mlae,LPQ,0
ch02_04_spy_hunter,ROC,3
ch07_05_qft_freq_to_state,ROC,7
ch03_03_phase_kickback,ROC,1
ch05_03_add_squared,ROC,15
vqe,ROC,0
ch07_04_qft_big_sq_wave,ROC,9
ch04_01_basic_teleportation,ROC,0
ch05_02_quantum_add,ROC,15
qsvc,ROC,2
vqd,ROC,0
vqc,ROC,3
ch05_05_conditional_phase,ROC,7
ch03_06_remote_random,ROC,0
ch07_03_qft_sq_wave,ROC,5
ae,ROC,15
ch02_03_root_not,ROC,1
qaoa,ROC,0
ch07_07_qft_freq_manip,ROC,28
ch05_06_cnot_logic,ROC,2
fae,ROC,0
hhl,ROC,0
ch05_04_conditional_execution,ROC,8
ch03_02_entangled_qubits,ROC,0
adapt_vqe,ROC,13
ch03_04_swaptest,ROC,4
grover,ROC,0
ch07_06_qft_prepare_state,ROC,11
ch05_01_increment,ROC,15
phase_estimation,ROC,0
iae,ROC,3
ch07_01_qft_distinguish,ROC,5
ch02_02_random_byte,ROC,0
ch06_02_grover_freq,ROC,40
ch06_01_grover_iterations,ROC,40
ch07_02_qft_signal,ROC,5
ch07_08_qft_rotating_phases,ROC,0
ipe,ROC,0
qgan,ROC,0
ch03_01_seperable_qubits,ROC,0
shor,ROC,265
qeom,ROC,12
ch03_05_custom_cphase,ROC,2
ch04_02_teleport_fly,ROC,26
ch02_01_random_bit,ROC,0
ch06_03_grover_multi,ROC,44
mlae,ROC,14
ch02_04_spy_hunter,IM,1
ch07_05_qft_freq_to_state,IM,0
ch03_03_phase_kickback,IM,0
ch05_03_add_squared,IM,0
vqe,IM,0
ch07_04_qft_big_sq_wave,IM,0
ch04_01_basic_teleportation,IM,0
ch05_02_quantum_add,IM,0
qsvc,IM,0
vqd,IM,0
vqc,IM,0
ch05_05_conditional_phase,IM,0
ch03_06_remote_random,IM,0
ch07_03_qft_sq_wave,IM,0
ae,IM,0
ch02_03_root_not,IM,0
qaoa,IM,0
ch07_07_qft_freq_manip,IM,0
ch05_06_cnot_logic,IM,1
fae,IM,0
hhl,IM,0
ch05_04_conditional_execution,IM,0
ch03_02_entangled_qubits,IM,0
adapt_vqe,IM,0
ch03_04_swaptest,IM,0
grover,IM,0
ch07_06_qft_prepare_state,IM,0
ch05_01_increment,IM,0
phase_estimation,IM,0
iae,IM,0
ch07_01_qft_distinguish,IM,0
ch02_02_random_byte,IM,0
ch06_02_grover_freq,IM,0
ch06_01_grover_iterations,IM,0
ch07_02_qft_signal,IM,0
ch07_08_qft_rotating_phases,IM,0
ipe,IM,0
qgan,IM,0
ch03_01_seperable_qubits,IM,0
shor,IM,0
qeom,IM,0
ch03_05_custom_cphase,IM,0
ch04_02_teleport_fly,IM,0
ch02_01_random_bit,IM,0
ch06_03_grover_multi,IM,0
mlae,IM,0
ch02_04_spy_hunter,IQ,0
ch07_05_qft_freq_to_state,IQ,0
ch03_03_phase_kickback,IQ,0
ch05_03_add_squared,IQ,9
vqe,IQ,0
ch07_04_qft_big_sq_wave,IQ,1
ch04_01_basic_teleportation,IQ,7
ch05_02_quantum_add,IQ,9
qsvc,IQ,0
vqd,IQ,0
vqc,IQ,0
ch05_05_conditional_phase,IQ,16
ch03_06_remote_random,IQ,2
ch07_03_qft_sq_wave,IQ,1
ae,IQ,0
ch02_03_root_not,IQ,0
qaoa,IQ,0
ch07_07_qft_freq_manip,IQ,0
ch05_06_cnot_logic,IQ,0
fae,IQ,0
hhl,IQ,1
ch05_04_conditional_execution,IQ,15
ch03_02_entangled_qubits,IQ,0
adapt_vqe,IQ,5
ch03_04_swaptest,IQ,3
grover,IQ,1
ch07_06_qft_prepare_state,IQ,3
ch05_01_increment,IQ,4
phase_estimation,IQ,0
iae,IQ,0
ch07_01_qft_distinguish,IQ,0
ch02_02_random_byte,IQ,0
ch06_02_grover_freq,IQ,3
ch06_01_grover_iterations,IQ,3
ch07_02_qft_signal,IQ,1
ch07_08_qft_rotating_phases,IQ,0
ipe,IQ,0
qgan,IQ,0
ch03_01_seperable_qubits,IQ,0
shor,IQ,15650
qeom,IQ,0
ch03_05_custom_cphase,IQ,1
ch04_02_teleport_fly,IQ,406
ch02_01_random_bit,IQ,0
ch06_03_grover_multi,IQ,0
mlae,IQ,0
